Course,Credit,Lab,Difficulty,Material,Study Time,Weight
PHYS 101,4.00,1.00,9.00,8.00,6.00,2.16
PHYS 101,4.00,1.00,8.00,6.00,9.00,2.16
PHYS 102,4.00,1.00,8.00,6.00,9.00,2.16
PHYS 102,4.00,1.00,8.00,9.00,6.00,2.16
PHYS 102,4.00,1.00,9.00,8.00,6.00,2.16
PHYS 102,4.00,1.00,9.00,8.00,6.00,2.16
ICS 343,4.00,1.00,9.00,8.00,6.00,2.16
ICS 343,4.00,1.00,8.00,9.00,6.00,2.16
ICS 431,4.00,1.00,8.00,9.00,6.00,2.16
ICS 431,4.00,1.00,6.00,8.00,9.00,2.16
ICS 102,3.00,1.00,8.00,8.00,8.00,2.048
MATH 101,4.00,0.00,8.00,9.00,7.00,2.016
MATH 101,4.00,0.00,8.00,9.00,7.00,2.016
MATH 102,4.00,0.00,8.00,9.00,7.00,2.016
ICS 102,3.00,1.00,7.00,8.00,9.00,2.016
STAT 319,3.00,1.00,9.00,8.00,7.00,2.016
STAT 319,3.00,1.00,8.00,9.00,7.00,2.016
CHEM 101,4.00,1.00,8.00,7.00,7.00,1.96
CHEM 101,4.00,1.00,7.00,7.00,8.00,1.96
PHYS 101,4.00,1.00,7.00,8.00,7.00,1.96
PHYS 101,4.00,1.00,7.00,7.00,8.00,1.96
ICS 431,4.00,1.00,7.00,7.00,8.00,1.96
ICS 431,4.00,1.00,8.00,7.00,7.00,1.96
ICS 431,4.00,1.00,7.00,7.00,8.00,1.96
MATH 101,4.00,0.00,9.00,6.00,9.00,1.944
MATH 102,4.00,0.00,6.00,9.00,9.00,1.944
MATH 102,4.00,0.00,9.00,9.00,6.00,1.944
MATH 102,4.00,0.00,9.00,9.00,6.00,1.944
MATH 102,4.00,0.00,9.00,6.00,9.00,1.944
ICS 102,3.00,1.00,9.00,6.00,9.00,1.944
ICS 102,3.00,1.00,9.00,6.00,9.00,1.944
COE 202,3.00,0.00,9.00,8.00,9.00,1.944
COE 202,3.00,0.00,9.00,8.00,9.00,1.944
STAT 319,3.00,1.00,9.00,6.00,9.00,1.944
STAT 319,3.00,1.00,9.00,9.00,6.00,1.944
SWE 363,3.00,0.00,9.00,8.00,9.00,1.944
ICS 381,3.00,0.00,9.00,9.00,8.00,1.944
ICS 381,3.00,0.00,8.00,9.00,9.00,1.944
ICS 485,3.00,0.00,8.00,9.00,9.00,1.944
ICS 471,3.00,0.00,9.00,8.00,9.00,1.944
ICS 471,3.00,0.00,9.00,9.00,8.00,1.944
CHEM 101,4.00,1.00,8.00,8.00,6.00,1.92
CHEM 101,4.00,1.00,8.00,8.00,6.00,1.92
PHYS 101,4.00,1.00,6.00,8.00,8.00,1.92
PHYS 102,4.00,1.00,8.00,6.00,8.00,1.92
PHYS 102,4.00,1.00,8.00,8.00,6.00,1.92
ICS 233,4.00,1.00,8.00,8.00,6.00,1.92
ICS 233,4.00,1.00,8.00,8.00,6.00,1.92
ICS 233,4.00,1.00,8.00,8.00,6.00,1.92
ICS 343,4.00,1.00,6.00,8.00,8.00,1.92
ICS 431,4.00,1.00,6.00,8.00,8.00,1.92
CHEM 101,4.00,1.00,7.00,9.00,6.00,1.89
CHEM 101,4.00,1.00,9.00,7.00,6.00,1.89
PHYS 101,4.00,1.00,7.00,6.00,9.00,1.89
PHYS 101,4.00,1.00,7.00,9.00,6.00,1.89
PHYS 102,4.00,1.00,7.00,6.00,9.00,1.89
PHYS 102,4.00,1.00,6.00,9.00,7.00,1.89
ICS 201,4.00,1.00,6.00,7.00,9.00,1.89
ICS 201,4.00,1.00,7.00,6.00,9.00,1.89
ICS 233,4.00,1.00,6.00,7.00,9.00,1.89
ICS 431,4.00,1.00,6.00,7.00,9.00,1.89
ICS 431,4.00,1.00,6.00,9.00,7.00,1.89
PHYS 101,4.00,1.00,9.00,5.00,8.00,1.8
PHYS 101,4.00,1.00,8.00,5.00,9.00,1.8
ICS 201,4.00,1.00,5.00,8.00,9.00,1.8
ICS 233,4.00,1.00,8.00,9.00,5.00,1.8
ICS 233,4.00,1.00,5.00,8.00,9.00,1.8
ICS 233,4.00,1.00,8.00,5.00,9.00,1.8
ICS 233,4.00,1.00,5.00,8.00,9.00,1.8
ICS 233,4.00,1.00,9.00,5.00,8.00,1.8
ICS 343,4.00,1.00,9.00,5.00,8.00,1.8
MATH 101,4.00,0.00,8.00,8.00,7.00,1.792
MATH 101,4.00,0.00,7.00,8.00,8.00,1.792
MATH 101,4.00,0.00,9.00,7.00,7.00,1.764
STAT 319,3.00,1.00,7.00,9.00,7.00,1.764
STAT 319,3.00,1.00,7.00,9.00,7.00,1.764
MATH 102,4.00,0.00,9.00,6.00,8.00,1.728
MATH 102,4.00,0.00,9.00,8.00,6.00,1.728
ICS 102,3.00,1.00,6.00,8.00,9.00,1.728
COE 202,3.00,0.00,9.00,8.00,8.00,1.728
STAT 319,3.00,1.00,8.00,9.00,6.00,1.728
STAT 319,3.00,1.00,9.00,6.00,8.00,1.728
STAT 319,3.00,1.00,9.00,6.00,8.00,1.728
ICS 381,3.00,0.00,9.00,8.00,8.00,1.728
PHYS 101,4.00,1.00,7.00,7.00,7.00,1.715
ICS 324,4.00,1.00,7.00,7.00,7.00,1.715
MATH 201,3.00,0.00,9.00,7.00,9.00,1.701
MATH 201,3.00,0.00,9.00,9.00,7.00,1.701
COE 202,3.00,0.00,9.00,7.00,9.00,1.701
SWE 363,3.00,0.00,9.00,7.00,9.00,1.701
SWE 363,3.00,0.00,9.00,7.00,9.00,1.701
SWE 363,3.00,0.00,9.00,9.00,7.00,1.701
SWE 387,3.00,0.00,9.00,9.00,7.00,1.701
ICS 485,3.00,0.00,9.00,9.00,7.00,1.701
ICS 471,3.00,0.00,9.00,9.00,7.00,1.701
CHEM 101,4.00,1.00,7.00,8.00,6.00,1.68
CHEM 101,4.00,1.00,6.00,8.00,7.00,1.68
PHYS 101,4.00,1.00,7.00,8.00,6.00,1.68
PHYS 102,4.00,1.00,7.00,8.00,6.00,1.68
PHYS 102,4.00,1.00,7.00,6.00,8.00,1.68
PHYS 102,4.00,1.00,8.00,7.00,6.00,1.68
PHYS 102,4.00,1.00,8.00,6.00,7.00,1.68
ICS 201,4.00,1.00,6.00,7.00,8.00,1.68
ICS 201,4.00,1.00,6.00,7.00,8.00,1.68
ICS 233,4.00,1.00,7.00,8.00,6.00,1.68
ICS 233,4.00,1.00,6.00,7.00,8.00,1.68
ICS 343,4.00,1.00,7.00,8.00,6.00,1.68
ICS 343,4.00,1.00,6.00,8.00,7.00,1.68
ICS 343,4.00,1.00,8.00,6.00,7.00,1.68
ICS 343,4.00,1.00,8.00,7.00,6.00,1.68
ICS 343,4.00,1.00,6.00,8.00,7.00,1.68
ICS 431,4.00,1.00,6.00,7.00,8.00,1.68
CHEM 101,4.00,1.00,6.00,9.00,6.00,1.62
CHEM 101,4.00,1.00,6.00,6.00,9.00,1.62
PHYS 101,4.00,1.00,6.00,9.00,6.00,1.62
PHYS 101,4.00,1.00,6.00,9.00,6.00,1.62
PHYS 102,4.00,1.00,6.00,9.00,6.00,1.62
ICS 233,4.00,1.00,6.00,9.00,6.00,1.62
STAT 319,3.00,1.00,9.00,5.00,9.00,1.62
STAT 319,3.00,1.00,9.00,5.00,9.00,1.62
ICS 343,4.00,1.00,6.00,9.00,6.00,1.62
ICS 343,4.00,1.00,6.00,6.00,9.00,1.62
ICS 343,4.00,1.00,9.00,6.00,6.00,1.62
ICS 343,4.00,1.00,9.00,6.00,6.00,1.62
ICS 343,4.00,1.00,8.00,5.00,8.00,1.6
ICS 233,4.00,1.00,9.00,7.00,5.00,1.575
ICS 343,4.00,1.00,9.00,5.00,7.00,1.575
MATH 101,4.00,0.00,7.00,7.00,8.00,1.568
MATH 101,4.00,0.00,8.00,7.00,7.00,1.568
MATH 101,4.00,0.00,7.00,8.00,7.00,1.568
STAT 319,3.00,1.00,8.00,7.00,7.00,1.568
STAT 319,3.00,1.00,7.00,8.00,7.00,1.568
MATH 101,4.00,0.00,8.00,8.00,6.00,1.536
MATH 101,4.00,0.00,6.00,8.00,8.00,1.536
MATH 101,4.00,0.00,8.00,6.00,8.00,1.536
MATH 201,3.00,0.00,8.00,8.00,8.00,1.536
STAT 319,3.00,1.00,6.00,8.00,8.00,1.536
SWE 363,3.00,0.00,8.00,8.00,8.00,1.536
ICS 471,3.00,0.00,8.00,8.00,8.00,1.536
MATH 101,4.00,0.00,9.00,7.00,6.00,1.512
MATH 101,4.00,0.00,6.00,7.00,9.00,1.512
MATH 101,4.00,0.00,9.00,6.00,7.00,1.512
MATH 101,4.00,0.00,6.00,7.00,9.00,1.512
MATH 102,4.00,0.00,7.00,9.00,6.00,1.512
MATH 102,4.00,0.00,9.00,7.00,6.00,1.512
MATH 102,4.00,0.00,6.00,9.00,7.00,1.512
MATH 102,4.00,0.00,9.00,7.00,6.00,1.512
MATH 102,4.00,0.00,6.00,9.00,7.00,1.512
MATH 201,3.00,0.00,8.00,7.00,9.00,1.512
COE 202,3.00,0.00,9.00,7.00,8.00,1.512
SWE 205,3.00,0.00,7.00,9.00,8.00,1.512
STAT 319,3.00,1.00,9.00,7.00,6.00,1.512
STAT 319,3.00,1.00,6.00,7.00,9.00,1.512
SWE 363,3.00,0.00,7.00,9.00,8.00,1.512
SWE 363,3.00,0.00,9.00,7.00,8.00,1.512
SWE 387,3.00,0.00,8.00,9.00,7.00,1.512
SWE 387,3.00,0.00,7.00,8.00,9.00,1.512
ICS 381,3.00,0.00,9.00,7.00,8.00,1.512
ICS 381,3.00,0.00,7.00,8.00,9.00,1.512
ICS 381,3.00,0.00,7.00,9.00,8.00,1.512
ICS 485,3.00,0.00,9.00,7.00,8.00,1.512
ICS 485,3.00,0.00,9.00,8.00,7.00,1.512
ICS 485,3.00,0.00,8.00,7.00,9.00,1.512
ICS 471,3.00,0.00,9.00,7.00,8.00,1.512
CHEM 101,4.00,1.00,7.00,7.00,6.00,1.47
PHYS 101,4.00,1.00,7.00,7.00,6.00,1.47
ICS 233,4.00,1.00,6.00,7.00,7.00,1.47
ICS 324,4.00,1.00,6.00,7.00,7.00,1.47
ICS 431,4.00,1.00,7.00,7.00,6.00,1.47
ICS 431,4.00,1.00,6.00,7.00,7.00,1.47
MATH 201,3.00,0.00,9.00,9.00,6.00,1.458
SWE 363,3.00,0.00,9.00,6.00,9.00,1.458
SWE 387,3.00,0.00,9.00,6.00,9.00,1.458
SWE 387,3.00,0.00,9.00,9.00,6.00,1.458
ICS 381,3.00,0.00,6.00,9.00,9.00,1.458
ICS 381,3.00,0.00,9.00,9.00,6.00,1.458
ICS 485,3.00,0.00,9.00,6.00,9.00,1.458
ICS 471,3.00,0.00,9.00,9.00,6.00,1.458
CHEM 101,4.00,1.00,6.00,6.00,8.00,1.44
PHYS 101,4.00,1.00,8.00,6.00,6.00,1.44
PHYS 101,4.00,1.00,8.00,6.00,6.00,1.44
MATH 101,4.00,0.00,8.00,5.00,9.00,1.44
MATH 101,4.00,0.00,8.00,5.00,9.00,1.44
PHYS 102,4.00,1.00,8.00,6.00,6.00,1.44
MATH 102,4.00,0.00,9.00,5.00,8.00,1.44
ICS 102,3.00,1.00,8.00,5.00,9.00,1.44
ICS 102,3.00,1.00,8.00,5.00,9.00,1.44
ICS 202,4.00,0.00,8.00,5.00,9.00,1.44
ICS 202,4.00,0.00,8.00,5.00,9.00,1.44
ICS 233,4.00,1.00,6.00,8.00,6.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
STAT 319,3.00,1.00,8.00,5.00,9.00,1.44
ICS 343,4.00,1.00,6.00,6.00,8.00,1.44
ICS 343,4.00,1.00,6.00,6.00,8.00,1.44
PHYS 102,4.00,1.00,7.00,5.00,8.00,1.4
ICS 201,4.00,1.00,5.00,7.00,8.00,1.4
ICS 201,4.00,1.00,7.00,5.00,8.00,1.4
ICS 201,4.00,1.00,7.00,5.00,8.00,1.4
ICS 233,4.00,1.00,8.00,7.00,5.00,1.4
ICS 324,4.00,1.00,5.00,7.00,8.00,1.4
ICS 324,4.00,1.00,5.00,7.00,8.00,1.4
PHYS 102,4.00,1.00,9.00,5.00,6.00,1.35
PHYS 102,4.00,1.00,6.00,5.00,9.00,1.35
PHYS 102,4.00,1.00,9.00,5.00,6.00,1.35
ICS 233,4.00,1.00,6.00,9.00,5.00,1.35
ICS 233,4.00,1.00,5.00,6.00,9.00,1.35
ICS 343,4.00,1.00,6.00,5.00,9.00,1.35
MATH 101,4.00,0.00,8.00,6.00,7.00,1.344
MATH 101,4.00,0.00,6.00,7.00,8.00,1.344
MATH 101,4.00,0.00,6.00,7.00,8.00,1.344
MATH 101,4.00,0.00,8.00,6.00,7.00,1.344
MATH 102,4.00,0.00,8.00,7.00,6.00,1.344
MATH 102,4.00,0.00,6.00,8.00,7.00,1.344
MATH 102,4.00,0.00,7.00,8.00,6.00,1.344
MATH 201,3.00,0.00,8.00,7.00,8.00,1.344
COE 202,3.00,0.00,7.00,8.00,8.00,1.344
STAT 319,3.00,1.00,6.00,8.00,7.00,1.344
SWE 363,3.00,0.00,8.00,8.00,7.00,1.344
SWE 363,3.00,0.00,7.00,8.00,8.00,1.344
SWE 387,3.00,0.00,8.00,7.00,8.00,1.344
SWE 387,3.00,0.00,7.00,8.00,8.00,1.344
SWE 387,3.00,0.00,8.00,8.00,7.00,1.344
ICS 381,3.00,0.00,8.00,7.00,8.00,1.344
ICS 485,3.00,0.00,8.00,8.00,7.00,1.344
ICS 471,3.00,0.00,7.00,8.00,8.00,1.344
ICS 471,3.00,0.00,8.00,7.00,8.00,1.344
MATH 201,3.00,0.00,7.00,9.00,7.00,1.323
MATH 201,3.00,0.00,7.00,7.00,9.00,1.323
SWE 205,3.00,0.00,7.00,7.00,9.00,1.323
SWE 387,3.00,0.00,7.00,7.00,9.00,1.323
SWE 417,3.00,0.00,7.00,7.00,9.00,1.323
ICS 471,3.00,0.00,9.00,7.00,7.00,1.323
ICS 471,3.00,0.00,9.00,7.00,7.00,1.323
MATH 101,4.00,0.00,9.00,6.00,6.00,1.296
MATH 101,4.00,0.00,6.00,6.00,9.00,1.296
MATH 102,4.00,0.00,6.00,9.00,6.00,1.296
ICS 102,3.00,1.00,9.00,6.00,6.00,1.296
COE 202,3.00,0.00,6.00,8.00,9.00,1.296
COE 202,3.00,0.00,9.00,6.00,8.00,1.296
ENGL 214,3.00,0.00,9.00,6.00,8.00,1.296
STAT 319,3.00,1.00,6.00,6.00,9.00,1.296
STAT 319,3.00,1.00,9.00,6.00,6.00,1.296
SWE 363,3.00,0.00,8.00,9.00,6.00,1.296
ICS 381,3.00,0.00,6.00,8.00,9.00,1.296
ICS 381,3.00,0.00,9.00,8.00,6.00,1.296
ICS 381,3.00,0.00,8.00,6.00,9.00,1.296
ICS 381,3.00,0.00,6.00,8.00,9.00,1.296
ICS 381,3.00,0.00,8.00,9.00,6.00,1.296
ICS 485,3.00,0.00,8.00,9.00,6.00,1.296
ICS 485,3.00,0.00,8.00,9.00,6.00,1.296
ICS 485,3.00,0.00,9.00,8.00,6.00,1.296
ICS 471,3.00,0.00,8.00,6.00,9.00,1.296
ICS 471,3.00,0.00,6.00,8.00,9.00,1.296
ICS 471,3.00,0.00,8.00,6.00,9.00,1.296
CHEM 101,4.00,1.00,6.00,6.00,7.00,1.26
CHEM 101,4.00,1.00,6.00,6.00,7.00,1.26
CHEM 101,4.00,1.00,6.00,7.00,6.00,1.26
MATH 102,4.00,0.00,7.00,5.00,9.00,1.26
ICS 102,3.00,1.00,5.00,7.00,9.00,1.26
ICS 102,3.00,1.00,9.00,5.00,7.00,1.26
ICS 201,4.00,1.00,7.00,6.00,6.00,1.26
ICS 324,4.00,1.00,6.00,6.00,7.00,1.26
ICS 343,4.00,1.00,7.00,6.00,6.00,1.26
PHYS 101,4.00,1.00,7.00,5.00,7.00,1.225
ICS 201,4.00,1.00,5.00,7.00,7.00,1.225
MATH 201,3.00,0.00,9.00,5.00,9.00,1.215
ICS 485,3.00,0.00,9.00,5.00,9.00,1.215
PHYS 101,4.00,1.00,8.00,5.00,6.00,1.2
PHYS 102,4.00,1.00,8.00,5.00,6.00,1.2
PHYS 102,4.00,1.00,8.00,5.00,6.00,1.2
ICS 233,4.00,1.00,8.00,5.00,6.00,1.2
ICS 324,4.00,1.00,6.00,5.00,8.00,1.2
MATH 101,4.00,0.00,7.00,6.00,7.00,1.176
MATH 101,4.00,0.00,7.00,6.00,7.00,1.176
MATH 201,3.00,0.00,8.00,7.00,7.00,1.176
MATH 201,3.00,0.00,8.00,7.00,7.00,1.176
COE 202,3.00,0.00,7.00,7.00,8.00,1.176
SWE 316,3.00,0.00,7.00,8.00,7.00,1.176
STAT 319,3.00,1.00,6.00,7.00,7.00,1.176
STAT 319,3.00,1.00,7.00,7.00,6.00,1.176
SWE 363,3.00,0.00,8.00,7.00,7.00,1.176
SWE 387,3.00,0.00,7.00,7.00,8.00,1.176
ICS 381,3.00,0.00,8.00,7.00,7.00,1.176
ICS 381,3.00,0.00,7.00,8.00,7.00,1.176
ICS 485,3.00,0.00,7.00,7.00,8.00,1.176
ICS 485,3.00,0.00,8.00,7.00,7.00,1.176
ICS 485,3.00,0.00,7.00,8.00,7.00,1.176
ICS 471,3.00,0.00,7.00,7.00,8.00,1.176
MATH 101,4.00,0.00,8.00,6.00,6.00,1.152
MATH 102,4.00,0.00,8.00,6.00,6.00,1.152
MATH 201,3.00,0.00,6.00,8.00,8.00,1.152
MATH 201,3.00,0.00,8.00,6.00,8.00,1.152
COE 202,3.00,0.00,8.00,6.00,8.00,1.152
ENGL 214,3.00,0.00,8.00,6.00,8.00,1.152
SWE 316,3.00,0.00,6.00,8.00,8.00,1.152
SWE 363,3.00,0.00,8.00,8.00,6.00,1.152
SWE 387,3.00,0.00,8.00,8.00,6.00,1.152
ICS 485,3.00,0.00,8.00,8.00,6.00,1.152
ICS 471,3.00,0.00,6.00,8.00,8.00,1.152
ENGL 102,3.00,0.00,7.00,6.00,9.00,1.134
MATH 201,3.00,0.00,7.00,6.00,9.00,1.134
SWE 205,3.00,0.00,6.00,9.00,7.00,1.134
SWE 205,3.00,0.00,7.00,9.00,6.00,1.134
ENGL 214,3.00,0.00,7.00,6.00,9.00,1.134
ISE 307,3.00,0.00,6.00,7.00,9.00,1.134
SWE 363,3.00,0.00,9.00,7.00,6.00,1.134
SWE 363,3.00,0.00,7.00,9.00,6.00,1.134
SWE 363,3.00,0.00,6.00,7.00,9.00,1.134
SWE 387,3.00,0.00,9.00,7.00,6.00,1.134
SWE 417,3.00,0.00,6.00,7.00,9.00,1.134
SWE 417,3.00,0.00,7.00,6.00,9.00,1.134
ICS 381,3.00,0.00,6.00,7.00,9.00,1.134
ICS 381,3.00,0.00,9.00,6.00,7.00,1.134
ICS 485,3.00,0.00,9.00,6.00,7.00,1.134
ICS 485,3.00,0.00,7.00,9.00,6.00,1.134
ICS 485,3.00,0.00,6.00,7.00,9.00,1.134
ICS 485,3.00,0.00,9.00,6.00,7.00,1.134
ICS 471,3.00,0.00,7.00,6.00,9.00,1.134
ICS 471,3.00,0.00,9.00,7.00,6.00,1.134
ICS 471,3.00,0.00,9.00,6.00,7.00,1.134
ICS 233,4.00,1.00,9.00,5.00,5.00,1.125
MATH 102,4.00,0.00,8.00,5.00,7.00,1.12
MATH 102,4.00,0.00,8.00,5.00,7.00,1.12
ICS 102,3.00,1.00,5.00,8.00,7.00,1.12
ICS 102,3.00,1.00,7.00,5.00,8.00,1.12
SWE 215,3.00,1.00,5.00,7.00,8.00,1.12
SWE 215,3.00,1.00,7.00,5.00,8.00,1.12
PHYS 101,4.00,1.00,6.00,6.00,6.00,1.08
MATH 102,4.00,0.00,9.00,5.00,6.00,1.08
ICS 102,3.00,1.00,5.00,6.00,9.00,1.08
ICS 201,4.00,1.00,6.00,4.00,9.00,1.08
ICS 201,4.00,1.00,3.00,8.00,9.00,1.08
STAT 319,3.00,1.00,9.00,5.00,6.00,1.08
SWE 387,3.00,0.00,5.00,8.00,9.00,1.08
SWE 387,3.00,0.00,8.00,5.00,9.00,1.08
ICS 485,3.00,0.00,9.00,5.00,8.00,1.08
PHYS 102,4.00,1.00,6.00,5.00,7.00,1.05
ICS 201,4.00,1.00,5.00,6.00,7.00,1.05
ICS 233,4.00,1.00,6.00,5.00,7.00,1.05
ICS 324,4.00,1.00,7.00,5.00,6.00,1.05
ICS 324,4.00,1.00,7.00,5.00,6.00,1.05
ICS 324,4.00,1.00,6.00,5.00,7.00,1.05
ICS 343,4.00,1.00,7.00,5.00,6.00,1.05
ICS 343,4.00,1.00,7.00,5.00,6.00,1.05
ICS 102,3.00,1.00,8.00,4.00,8.00,1.024
ICS 202,4.00,0.00,8.00,4.00,8.00,1.024
ENGL 102,3.00,0.00,7.00,6.00,8.00,1.008
ICS 102,3.00,1.00,6.00,7.00,6.00,1.008
ICS 102,3.00,1.00,6.00,7.00,6.00,1.008
MATH 201,3.00,0.00,8.00,6.00,7.00,1.008
MATH 201,3.00,0.00,8.00,7.00,6.00,1.008
ICS 202,4.00,0.00,6.00,6.00,7.00,1.008
COE 202,3.00,0.00,8.00,6.00,7.00,1.008
COE 202,3.00,0.00,7.00,8.00,6.00,1.008
COE 202,3.00,0.00,6.00,8.00,7.00,1.008
SWE 205,3.00,0.00,6.00,8.00,7.00,1.008
SWE 215,3.00,1.00,7.00,6.00,6.00,1.008
SWE 316,3.00,0.00,6.00,7.00,8.00,1.008
SWE 363,3.00,0.00,7.00,6.00,8.00,1.008
SWE 363,3.00,0.00,7.00,6.00,8.00,1.008
SWE 363,3.00,0.00,8.00,7.00,6.00,1.008
SWE 363,3.00,0.00,8.00,6.00,7.00,1.008
SWE 363,3.00,0.00,8.00,6.00,7.00,1.008
SWE 363,3.00,0.00,7.00,6.00,8.00,1.008
SWE 387,3.00,0.00,7.00,8.00,6.00,1.008
SWE 387,3.00,0.00,6.00,8.00,7.00,1.008
SWE 387,3.00,0.00,7.00,8.00,6.00,1.008
SWE 417,3.00,0.00,6.00,7.00,8.00,1.008
SWE 417,3.00,0.00,6.00,7.00,8.00,1.008
SWE 417,3.00,0.00,7.00,6.00,8.00,1.008
ICS 381,3.00,0.00,6.00,7.00,8.00,1.008
ICS 381,3.00,0.00,6.00,7.00,8.00,1.008
ICS 485,3.00,0.00,7.00,6.00,8.00,1.008
ICS 485,3.00,0.00,6.00,7.00,8.00,1.008
ICS 485,3.00,0.00,7.00,8.00,6.00,1.008
ICS 485,3.00,0.00,8.00,7.00,6.00,1.008
ICS 485,3.00,0.00,7.00,6.00,8.00,1.008
